"marker","cluster","BvsT1","T1vsT2","B_RvsNR","T1_RvsNR","T2_RvsNR","d_T1_B_RvsNR","d_T2_B_RvsNR","d_T2_T1_RvsNR","mean_d_T1_B_R","mean_d_T1_B_NR","mean_d_T2_B_R","mean_d_T2_B_NR","mean_d_T2_T1_R","mean_d_T2_T1_NR"
"CD123","pDC","0.818","0.557","0.279","0.506","0.352","0.959","0.914","1","0.015","0.02","0.006","0.024","-0.001","-0.075"
"CD123","UA","0.854","0.492","0.506","0.959","0.762","0.959","0.257","0.61","0.025","-0.158","0.04","-0.086","-0.008","-0.06"
"CD135","B","0.66","0.813","0.833","0.225","0.24","0.562","0.352","0.762","0.003","-0.005","0.015","0.001","0.01","0"
"CD135","Baso","0.459","0.722","0.792","1","0.454","0.959","1","0.914","-0.001","-0.009","0.004","-0.002","-0.011","-0.002"
"CD135","CD4_T","0.434","0.77","0.526","0.187","0.24","0.013","1","0.257","0.012","-0.002","0.005","0.005","-0.009","0.003"
"CD135","CD8_T","1","0.683","0.383","1","0.665","0.064","1","0.61","0.003","-0.003","0.005","0.003","0.002","0.003"
"CD135","cDC1","0.478","0.047","0.279","0.799","0.762","0.562","0.476","1","0.052","-0.036","-0.03","-0.03","-0.108","-0.038"
"CD135","cDC2","0.747","0.322","0.959","0.799","0.61","0.721","0.914","0.914","-0.012","-0.001","-0.009","-0.047","-0.012","-0.048"
"CD135","DNT","1","0.953","0.734","0.533","0.461","0.692","0.286","0.413","-0.002","-0.001","0.013","-0.007","0.012","-0.001"
"CD135","DPT","0.906","0.114","0.493","0.442","0.762","0.874","0.476","0.01","-0.001","-0.011","-0.024","-0.004","-0.032","-0.001"
"CD135","GMDSC","0.379","0.646","0.743","0.14","0.762","0.178","0.905","0.914","0.018","-0.042","0.005","-0.017","0.002","0.006"
"CD135","MMDSC_I","0.083","0.097","0.369","0.65","0.83","0.661","0.669","0.539","-0.008","-0.026","0.01","-0.045","0.014","0.017"
"CD135","MMDSC_II","0.057","1","0.364","0.212","0.61","0.354","1","0.476","0.004","-0.027","-0.018","-0.017","-0.027","0.006"
"CD135","MMDSC_III","0.08","0.193","0.492","0.958","0.61","0.187","0.171","0.257","-0.018","-0.035","-0.017","0.024","0.001","0.025"
"CD135","Mono_I","0.554","0.492","0.634","0.833","0.476","0.959","0.61","0.914","-0.001","-0.009","-0.011","-0.03","0.024","0.006"
"CD135","Mono_II","0.036","0.859","0.32","0.646","0.914","0.079","0.067","0.352","-0.062","-0.005","-0.085","0.003","-0.015","0.006"
"CD135","Mono_III","0.209","0.153","0.341","0.958","0.831","0.879","0.61","0.521","-0.003","-0.007","0.016","0.002","0.018","0.011"
"CD135","Neu","0.224","0.722","0.712","0.091","0.831","0.428","1","0.748","0.002","-0.004","-0.004","-0.003","-0.002","0.007"
"CD135","NK_like","0.977","0.373","0.597","0.792","0.914","0.562","0.521","0.285","0.001","-0.003","0","0.003","-0.001","0.003"
"CD135","pDC","0.026","0.193","0.833","0.051","1","0.246","0.476","0.067","0.003","-0.018","-0.015","-0.002","-0.018","0.02"
"CD135","UA","0.329","0.492","0.721","0.562","0.914","0.799","0.257","0.914","-0.041","-0.12","-0.055","-0.071","-0.004","-0.007"
"CD14","B","0.67","0.432","0.506","0.752","0.914","0.792","0.257","0.114","0.24","0.006","0.439","0.008","0.147","-0.02"
"CD14","Baso","0.145","0.375","0.506","0.959","0.762","0.279","0.171","0.762","0.247","-0.065","0.548","-0.003","0.205","0.037"
"CD14","CD4_T","0.776","0.77","0.328","0.442","0.61","0.799","0.352","0.352","0.211","0.002","0.42","0.02","0.14","0.026"
"CD14","CD8_T","0.927","1","0.383","0.646","0.762","0.574","0.352","0.476","0.265","-0.003","0.416","0.013","0.073","0.004"
"CD14","cDC1","0.207","0.846","0.721","0.195","0.61","0.082","0.762","0.476","0.373","0.074","-0.364","0.171","-0.808","-0.025"
"CD14","cDC2","0.678","0.105","0.799","0.959","1","0.959","0.61","0.476","0.197","0.043","0.224","-0.043","-0.054","-0.1"
"CD14","DNT","0.744","0.138","0.661","0.827","0.73","0.661","0.286","0.556","0.016","-0.044","0.144","-0.137","-0.017","-0.152"
"CD14","DPT","0.378","0.838","0.959","0.959","0.352","0.328","0.61","0.134","0.042","-0.007","0.238","-0.027","0.143","-0.014"
"CD14","GMDSC","0.041","0.375","1","0.913","0.762","0.953","0.556","0.61","0.368","0.334","0.443","0.005","0.016","-0.15"
"CD14","MMDSC_I","0.706","0.027","0.799","1","0.914","0.913","0.914","0.413","0.122","0.173","-0.122","-0.109","-0.338","-0.432"
"CD14","MMDSC_II","0.021","0.049","0.898","1","0.914","0.833","0.886","0.352","0.317","0.416","-0.298","-0.104","-0.653","-0.266"
"CD14","MMDSC_III","0.08","0.375","0.635","0.646","0.476","0.506","0.476","0.914","0.24","0.285","0.236","0.091","-0.077","-0.206"
"CD14","Mono_I","0.431","0.049","0.712","0.104","0.762","0.383","0.61","0.762","0.292","0.199","-0.149","0.087","-0.621","-0.188"
"CD14","Mono_II","0.94","0.027","0.32","0.959","0.914","0.661","1","1","-0.003","0.007","-0.302","-0.294","-0.344","-0.354"
"CD14","Mono_III","0.548","0.049","0.574","0.506","0.762","0.959","0.914","0.762","0.184","0.184","-0.035","-0.16","-0.348","-0.38"
"CD14","Neu","0.938","0.922","0.959","0.959","0.914","0.879","0.61","0.762","0.228","0.008","0.432","0.028","0.138","-0.009"
"CD14","NK_like","0.306","0.625","0.574","1","0.914","0.799","0.476","0.476","0.208","-0.014","0.379","-0.026","0.1","-0.003"
"CD14","pDC","0.04","0.492","1","0.799","0.914","0.721","1","0.914","0.229","0.142","0.269","0.046","-0.08","-0.101"
"CD14","UA","0.459","0.375","0.383","0.082","0.914","0.721","0.61","0.114","0.169","0.145","-0.04","0.166","-0.302","0.035"
"CD141","B","1","0.16","0.574","0.879","0.914","0.721","0.61","0.61","-0.022","0.006","0.071","0.106","0.098","0.08"
"CD141","Baso","0.284","0.432","0.879","0.799","0.257","1","0.257","0.257","-0.061","-0.124","-0.53","-0.096","-0.456","-0.011"
"CD141","CD4_T","0.887","1","0.959","0.493","1","0.03","0.914","0.257","0.023","-0.008","0.014","0.104","-0.014","0.102"
"CD141","CD8_T","0.776","0.695","0.879","0.493","1","0.02","1","0.171","0.028","-0.01","0.011","0.112","-0.024","0.114"
"CD141","cDC1","0.013","0.625","0.234","0.383","0.914","0.879","0.61","1","-0.217","-0.21","0.653","-0.183","0.807","0.047"
"CD141","cDC2","0.404","0.695","0.959","0.383","0.914","0.574","0.61","0.067","0.108","-0.074","-0.162","-0.08","-0.332","0.11"
"CD141","DNT","1","0.82","0.743","0.257","0.556","0.913","0.286","0.286","0.167","0.001","-0.033","0.022","-0.268","0.009"
"CD141","DPT","0.107","0.846","1","0.646","0.914","0.429","0.61","0.914","-0.11","-0.027","-0.161","0.107","-0.055","0.119"
"CD141","GMDSC","0","0.193","0.221","1","0.257","0.31","0.016","0.352","-0.856","-0.592","-0.708","-0.233","0.078","0.384"
"CD141","MMDSC_I","0.464","0.734","0.879","0.377","0.762","0.661","0.61","0.73","0.177","-0.268","0.269","-0.19","-0.023","0.132"
"CD141","MMDSC_II","0.002","0.77","0.06","0.441","0.762","0.833","0.886","0.61","-0.529","-0.718","-0.515","-0.357","-0.145","0.205"
"CD141","MMDSC_III","0.002","0.049","0.721","0.874","0.914","0.959","0.762","0.914","-0.536","-0.493","-0.269","-0.371","0.143","0.358"
"CD141","Mono_I","0.098","0.333","0.879","0.234","0.067","0.027","0.352","0.61","0.151","-0.343","0.365","-0.406","0.242","0.086"
"CD141","Mono_II","0.231","0.322","0.09","1","0.476","0.583","0.114","0.61","0.09","-0.264","0.485","-0.331","0.31","0.149"
"CD141","Mono_III","0.487","0.541","0.799","0.506","0.762","0.799","0.352","0.915","0.209","-0.096","0.309","-0.127","-0.03","0.078"
"CD141","Neu","0.243","0.695","0.792","0.574","1","0.279","0.914","0.762","0.028","-0.041","0.017","0.088","-0.023","0.103"
"CD141","NK_like","0.074","0.432","0.721","0.527","0.915","0.916","0.352","0.114","0","-0.014","-0.018","0.077","-0.022","0.091"
"CD141","pDC","0","0.131","0.46","0.46","0.067","1","1","0.114","-0.879","-0.814","-0.664","-0.611","-0.014","0.347"
"CD141","UA","0.284","0.554","0.328","1","0.61","0.027","0.114","0.476","0.133","-0.254","0.228","-0.198","0.018","0.023"
"CD15","B","0.463","0.846","0.442","1","0.069","0.429","0.019","0.171","0.013","-0.034","0.084","-0.007","0.067","-0.016"
"CD15","Baso","0.517","0.959","0.205","0.879","0.593","0.574","0.285","0.352","0.018","-0.02","0.086","0.009","0.061","-0.01"
"CD15","CD4_T","0.463","0.557","0.506","0.673","0.257","0.011","0.61","0.61","0.018","-0.004","0.04","0.015","0.019","0.013"
"CD15","CD8_T","1","0.234","0.493","1","0.449","0.064","0.61","0.831","0.012","-0.005","0.046","0.015","0.034","0.014"
"CD15","cDC1","0.854","0.695","0.104","0.126","0.61","0.506","0.476","0.762","-0.009","-0.037","0.037","-0.022","0.046","0.003"
"CD15","cDC2","0.057","0.77","0.037","0.506","0.067","0.004","0.067","0.476","0.021","-0.037","0.092","-0.027","0.066","-0.012"
"CD15","DNT","0.535","0.25","0.51","0.192","0.73","0.51","0.73","0.413","-0.029","-0.006","0.048","0.016","0.082","-0.007"
"CD15","DPT","0.831","1","0.383","0.493","0.914","0.646","0.762","1","-0.009","-0.007","0.026","0.009","0.036","0.012"
"CD15","GMDSC","1","0.813","0.51","0.913","0.067","0.129","0.905","0.476","0.162","-0.085","-0.046","-0.133","-0.193","0.024"
"CD15","MMDSC_I","0.051","0.359","0.721","0.335","0.257","0.115","0.762","0.413","-0.004","-0.166","-0.224","-0.194","-0.223","0.001"
"CD15","MMDSC_II","0.421","0.846","0.438","0.743","0.352","0.833","0.886","0.476","0.038","0.05","-0.039","0.005","-0.046","0.03"
"CD15","MMDSC_III","0.356","0.092","0.442","1","0.165","0.879","1","0.914","0.002","0.021","0.036","0.044","0.032","0.026"
"CD15","Mono_I","0.309","0.799","0.646","0.799","1","0.958","0.352","0.61","-0.009","-0.007","-0.02","0.006","-0.008","0.005"
"CD15","Mono_II","0.798","0.477","1","0.879","0.087","0.221","0.61","0.476","0.02","-0.007","0.191","-0.004","0.168","-0.028"
"CD15","Mono_III","0.272","0.169","0.879","1","1","0.267","0.914","0.352","0.002","-0.015","0.003","0.004","0.002","0.017"
"CD15","Neu","0.329","0.049","1","0.234","0.521","0.234","0.61","1","0.113","-0.089","-0.19","-0.177","-0.312","-0.145"
"CD15","NK_like","0.236","0.232","0.574","0.646","0.915","0.152","0.762","0.762","0","-0.005","0.013","0.007","0.013","0.009"
"CD15","pDC","0.836","0.058","1","0.879","1","0.799","0.762","0.669","0.001","-0.001","0.016","0.024","0.017","0.03"
"CD15","UA","0.712","0.625","0.091","0.574","0.914","0.506","0.171","0.257","0.032","-0.14","0.094","-0.093","0.059","-0.048"
"CD16","B","0.74","0.105","0.442","0.574","0.476","0.833","0.61","0.257","-0.022","-0.049","0.224","0.092","0.253","0.033"
"CD16","Baso","0.782","0.232","0.46","0.37","0.257","0.646","0.61","0.762","0.006","-0.003","0.122","0.103","0.114","0.048"
"CD16","CD4_T","0.747","0.77","0.104","0.16","0.171","0.799","0.476","0.914","0.01","-0.005","0.022","0.033","0.013","0.029"
"CD16","CD8_T","1","0.131","0.721","0.442","0.114","0.13","0.01","0.352","0.123","-0.021","0.192","0.058","0.031","0.063"
"CD16","cDC1","0.611","0.275","0.799","0.959","0.476","0.879","1","0.914","0.045","0.047","0.082","-0.01","-0.018","-0.091"
"CD16","cDC2","0.678","0.16","0.13","0.195","0.762","0.506","0.114","0.476","0.046","-0.002","0.164","0.006","0.111","0.024"
"CD16","DNT","0.093","1","0.267","0.145","0.413","0.09","0.556","0.286","0.365","0.06","0.329","0.182","-0.13","0.137"
"CD16","DPT","0.747","1","0.879","0.646","0.762","0.721","0.476","0.171","0.071","-0.011","-0.006","0.194","-0.126","0.141"
"CD16","GMDSC","0.524","0.232","1","0.32","1","0.371","0.905","0.257","-0.275","-0.003","0.036","0.007","0.303","0.084"
"CD16","MMDSC_I","0.464","0.039","0.048","0.583","0.762","0.005","0.114","1","0.235","-0.145","0.443","-0.112","0.165","0.092"
"CD16","MMDSC_II","0.497","0.375","0.699","0.913","1","0.524","0.886","0.762","-0.255","-0.058","-0.314","-0.176","-0.165","-0.357"
"CD16","MMDSC_III","0.141","0.275","0.442","0.16","1","0.279","0.762","0.476","-0.321","0.018","0.033","0.082","0.261","0.031"
"CD16","Mono_I","0.243","0.625","0.799","0.879","0.61","0.574","0.257","0.762","0.002","0.088","0.126","0.046","0.045","0.008"
"CD16","Mono_II","0.093","0.275","0.583","0.574","1","0.827","0.476","0.352","-0.113","-0.063","-0.503","-0.05","-0.381","-0.052"
"CD16","Mono_III","0.453","0.375","0.091","0.442","0.352","0.429","0.762","0.61","0.008","-0.054","0.056","0.05","0.072","0.087"
"CD16","Neu","0.89","0.695","0.506","0.383","0.61","0.048","0.038","0.914","0.285","-0.076","0.387","0.046","0.028","0.031"
"CD16","NK_like","0.89","0.846","0.16","0.574","0.114","0.646","0.914","0.61","-0.126","0.144","0.415","0.048","0.415","-0.242"
"CD16","pDC","0.32","0.415","0.799","0.506","0.914","0.37","0.61","0.831","-0.487","-0.07","0.076","-0.025","0.282","0.068"
"CD16","UA","1","0.77","0.082","0.646","0.762","0.383","0.476","0.476","0.139","-0.22","0.253","-0.094","0.069","0.001"
"CD163","B","0.641","0.359","0.791","0.632","0.476","0.102","0.352","0.336","0.004","-0.002","0.009","0.003","0.005","0.002"
"CD163","Baso","0.776","0.085","0.245","0.646","1","0.634","0.762","0.392","0.001","0.001","-0.004","0.002","-0.005","-0.013"
"CD163","CD4_T","0.484","0.767","1","0.368","0.83","0.242","0.331","0.257","0.003","0","0","0.003","-0.003","0.001"
"CD163","CD8_T","0.822","0.905","0.673","0.427","0.915","0.957","0.592","0.199","0.003","0","-0.001","0.002","-0.004","0.002"
"CD163","cDC1","0.027","0.846","0.267","0.46","1","0.721","0.762","0.914","-0.045","-0.059","-0.025","-0.006","0.004","0.005"
"CD163","cDC2","0.263","0.77","0.506","0.383","0.762","0.16","0.61","0.352","-0.236","-0.03","-0.135","-0.191","0.107","-0.128"
"CD163","DNT","0.66","0.301","0.661","1","0.556","0.827","0.73","0.73","-0.004","-0.002","-0.002","-0.006","0.002","-0.01"
"CD163","DPT","0.159","0.407","0.16","0.429","1","0.574","0.914","0.114","-0.015","-0.018","-0.045","-0.038","-0.033","0.007"
"CD163","GMDSC","0.035","0.232","0.069","0.692","0.114","0.254","0.032","0.257","0.012","-0.157","0.058","-0.201","0.014","-0.2"
"CD163","MMDSC_I","0.127","0.301","0.383","0.32","0.24","0.461","0.914","0.286","-0.083","-0.032","-0.034","-0.061","0.023","-0.048"
"CD163","MMDSC_II","0.048","0.625","0.606","0.145","0.352","0.284","0.486","0.171","-0.256","-0.011","0.117","-0.297","0.306","-0.071"
"CD163","MMDSC_III","0.098","0.77","0.712","0.224","0.114","0.279","0.257","0.038","-0.069","0.003","0.086","-0.076","0.13","-0.043"
"CD163","Mono_I","0.487","0.922","0.13","0.673","0.038","0.104","0.61","0.114","-0.196","0.051","-0.067","-0.05","0.129","-0.045"
"CD163","Mono_II","0.375","0.232","0.011","0.225","0.171","0.743","0.171","0.352","0.095","0.043","-0.139","0.044","-0.302","0.009"
"CD163","Mono_III","0.084","0.922","0.279","0.37","0.352","0.13","1","0.352","-0.096","-0.011","-0.035","-0.051","0.049","-0.016"
"CD163","Neu","0.636","0.275","0.114","0.006","0.257","0.46","0.914","0.476","0.016","-0.003","-0.013","-0.005","-0.033","-0.01"
"CD163","NK_like","0.842","0.725","0.751","0.492","0.762","0.712","0.454","0.051","0.002","-0.001","-0.001","0.001","-0.003","0.002"
"CD163","pDC","0.603","0.678","0.072","0.399","0.762","0.562","0.114","0.476","-0.001","0.006","-0.008","0.007","-0.019","0.001"
"CD163","UA","0.517","0.322","0.429","0.574","0.914","0.959","0.352","0.762","-0.023","-0.118","-0.022","-0.08","-0.008","-0.031"
"CD172AB","B","0.906","0.076","0.082","0.506","0.476","0.328","0.067","0.01","0.086","-0.035","0.34","0.04","0.239","0.005"
"CD172AB","Baso","0.005","0.492","0.959","0.646","0.61","0.16","1","0.352","0.466","0.235","0.26","0.208","-0.242","-0.074"
"CD172AB","CD4_T","0.552","0.232","0.328","1","0.762","0.113","0.171","0.352","0.073","-0.003","0.158","0.027","0.07","0.028"
"CD172AB","CD8_T","0.329","0.695","0.279","0.959","0.61","0.048","0.476","0.914","0.097","-0.001","0.162","0.025","0.045","0.021"
"CD172AB","cDC1","0.243","0.922","0.574","0.959","0.61","0.279","0.257","0.914","-0.037","0.137","-0.234","0.222","-0.163","0.049"
"CD172AB","cDC2","0.712","0.625","0.442","0.799","0.257","0.959","1","1","-0.108","0.055","-0.102","-0.125","-0.047","-0.138"
"CD172AB","DNT","0.623","0.426","0.069","0.827","0.556","0.027","0.286","0.556","0.131","-0.04","0.059","-0.078","-0.106","-0.028"
"CD172AB","DPT","0.854","1","0.959","0.574","0.114","0.234","0.476","0.067","-0.063","0.071","0.257","-0.026","0.297","-0.048"
"CD172AB","GMDSC","0.359","0.557","0.257","0.661","0.476","0.254","0.73","0.171","-0.091","0.321","0.093","0.147","0.237","-0.043"
"CD172AB","MMDSC_I","0.632","0.164","0.16","0.827","0.171","0.743","0.914","0.286","-0.017","0.145","0.098","0.078","0.032","-0.235"
"CD172AB","MMDSC_II","0.008","0.322","0.042","1","0.476","0.127","0.686","0.762","0.053","0.287","-0.101","0.148","-0.109","-0.185"
"CD172AB","MMDSC_III","0.071","0.275","0.064","0.442","0.199","0.646","0.762","0.476","0.108","0.36","0.136","0.214","0.043","-0.17"
"CD172AB","Mono_I","0.225","0.375","0.13","0.574","0.476","0.721","0.762","0.914","0.068","0.335","-0.169","0.302","-0.435","-0.13"
"CD172AB","Mono_II","0.562","0.131","0.027","0.673","0.171","0.32","0.762","0.171","-0.226","0.161","-0.177","-0.156","0.021","-0.335"
"CD172AB","Mono_III","0.353","0.193","0.064","0.442","0.171","0.646","1","0.476","-0.014","0.261","0.031","0.001","-0.069","-0.287"
"CD172AB","Neu","0.747","0.846","0.13","0.799","0.762","0.019","0.257","0.762","0.262","-0.072","0.351","0.009","0.036","0.016"
"CD172AB","NK_like","0.332","0.202","0.383","0.721","0.476","0.268","1","0.352","0.074","-0.01","0.139","0.03","0.051","0.029"
"CD172AB","pDC","0.487","0.375","0.195","0.959","0.476","0.328","0.762","0.914","-0.067","0.168","-0.004","0.038","0.059","-0.166"
"CD172AB","UA","0.89","0.695","0.799","0.574","0.762","0.383","0.476","0.914","0.07","-0.033","0.109","-0.045","-0.008","-0.064"
"CD19","B","0.057","0.375","0.959","0.442","0.61","0.16","0.914","0.352","0.209","0.082","0.055","0.016","-0.15","-0.056"
"CD19","Baso","0.782","0.275","0.383","0.799","0.61","0.721","0.476","0.914","0.163","-0.009","0.194","0.093","-0.033","0.079"
"CD19","CD4_T","0.782","1","0.721","0.442","1","0.574","0.914","0.476","0.035","0.004","0.108","0.081","0.052","0.086"
"CD19","CD8_T","1","1","0.646","0.598","0.762","0.958","0.914","0.762","0.076","0","0.117","0.091","0.01","0.086"
"CD19","cDC1","0.487","0.625","0.16","0.279","0.257","0.383","0.762","0.61","-0.12","0.01","-0.619","0.083","-0.514","-0.012"
"CD19","cDC2","0.897","0.275","0.383","0.646","0.762","0.328","0.352","0.61","0.159","-0.028","0.177","0.036","-0.036","0.068"
"CD19","DNT","0.562","0.91","0.743","0.913","0.905","0.661","0.73","0.73","-0.042","0.061","0.097","0.049","0.143","0.017"
"CD19","DPT","0.113","0.432","0.721","0.442","0.257","0.879","0.762","0.61","-0.031","-0.09","-0.074","-0.011","-0.089","0.078"
"CD19","GMDSC","0.804","0.625","0.913","1","0.476","0.953","1","0.914","-0.008","-0.005","0.124","0.167","0.123","0.068"
"CD19","MMDSC_I","0.274","0.496","0.879","0.743","0.61","0.743","0.762","1","0.13","0.05","0.101","0.038","-0.105","0.112"
"CD19","MMDSC_II","0.244","0.846","0.699","0.32","0.067","0.524","1","0.762","0.18","0.062","0.383","0.268","0.22","0.063"
"CD19","MMDSC_III","0.19","0.492","0.959","0.721","0.257","0.574","0.476","0.476","0.048","-0.158","0.058","0.142","-0.036","0.194"
"CD19","Mono_I","0.19","0.557","0.328","0.234","0.171","1","0.914","1","0.113","0.183","0.177","0.212","-0.013","0.035"
"CD19","Mono_II","0.67","0.432","0.51","0.799","0.762","0.51","0.352","0.61","-0.118","0.176","-0.042","0.301","0.061","0.243"
"CD19","Mono_III","0.611","0.432","0.959","0.574","0.61","0.442","0.914","0.61","0.228","0.028","0.245","0.153","-0.076","0.084"
"CD19","Neu","0.963","0.799","0.792","0.959","0.914","0.506","1","0.476","0.064","0.012","0.112","0.098","0.008","0.076"
"CD19","NK_like","0.927","0.477","0.712","0.635","0.762","0.104","0.762","0.257","0.027","0.025","0.072","0.078","0.027","0.067"
"CD19","pDC","0.246","0.153","0.721","1","0.914","0.879","0.476","0.336","0.059","0.028","-0.025","0.057","-0.123","0.044"
"CD19","UA","0.431","1","0.383","0.646","0.171","0.442","0.352","0.476","0.263","0.019","0.432","0.109","0.029","0.061"
"CD1C","B","0.13","0.193","0.959","0.493","0.257","0.292","0.61","0.914","0.23","0.079","0.192","-0.046","-0.146","-0.159"
"CD1C","Baso","0.89","0.232","0.429","0.316","1","0.104","0.914","0.067","0.055","-0.021","0.022","0.011","-0.048","0.013"
"CD1C","CD4_T","0.469","0.232","0.429","0.646","0.831","0.104","0.61","0.038","0.02","-0.005","0.003","0.011","-0.019","0.007"
"CD1C","CD8_T","0.816","0.575","0.383","0.958","0.476","0.195","0.593","0.134","0.015","-0.004","0.01","0.012","-0.009","0.01"
"CD1C","cDC1","0.028","0.695","0.598","0.506","0.257","0.195","0.171","0.476","-0.001","-0.109","0.075","-0.175","0.086","-0.039"
"CD1C","cDC2","0.12","1","0.383","0.959","0.61","0.574","0.352","0.914","0.207","0.13","0.336","-0.001","0.084","-0.06"
"CD1C","DNT","0.94","0.91","0.827","0.865","0.556","0.743","0.556","0.905","0.009","-0.003","0.009","0.02","0.016","0.016"
"CD1C","DPT","0.201","0.386","0.712","0.792","0.61","0.635","1","0.61","0.003","-0.042","-0.033","-0.067","-0.063","-0.02"
"CD1C","GMDSC","0.454","0.492","0.307","0.069","0.476","0.075","0.19","0.61","0.089","-0.147","0.128","-0.054","0.049","0.135"
"CD1C","MMDSC_I","0.049","0.82","0.799","0.32","0.762","0.212","0.914","0.905","-0.009","-0.082","-0.019","-0.016","-0.015","0.006"
"CD1C","MMDSC_II","0.127","0.77","0.438","0.427","0.257","0.622","0.486","0.171","0.064","-0.14","-0.09","0.1","-0.134","0.096"
"CD1C","MMDSC_III","0.002","0.557","0.383","0.16","0.067","0.646","0.61","0.762","0.086","0.078","0.095","0.071","-0.007","-0.006"
"CD1C","Mono_I","0.459","0.084","0.102","0.442","0.352","0.879","0.914","0.914","0.042","0.052","-0.112","-0.08","-0.146","-0.076"
"CD1C","Mono_II","0.706","0.625","0.32","0.712","0.171","0.661","0.476","0.762","0.015","0.019","0.031","0.288","0","0.255"
"CD1C","Mono_III","0.17","0.415","0.799","0.493","0.257","0.562","0.61","0.521","0.009","-0.024","-0.006","-0.041","-0.025","-0.005"
"CD1C","Neu","0.532","0.333","0.721","0.752","1","0.429","0.914","0.114","0.018","-0.014","0.001","-0.004","-0.023","0.004"
"CD1C","NK_like","0.589","0.878","0.712","0.721","0.762","0.792","0.336","0.01","0.008","-0.005","0.003","0.01","-0.006","0.007"
